businessname,latitude,longitude
El Jefe's Taqueria,42.35222529503607,-71.06491016806685
El Jefe's Taqueria,42.35190959979174,-71.11889059783282
El Jefe's Taqueria of Kenmore Sq.,42.34917741851401,-71.09657570725135
El Jefe's Taqueria of Northeastern,42.34217834634947,-71.0862409385429
Five Guys,42.35080961561898,-71.13072462578826
Five Guys,42.34224955812685,-71.08614054493893
Five Guys,42.35438952065652,-71.05871045683661
JIMMY JOHN'S,42.364539333151285,-71.02181778282163
JIMMY JOHN'S,42.344482241156975,-71.04388135640004
KFC,42.35358962542328,-71.13892063834345
Macy's Starbucks Kiosk,42.35496952383119,-71.06067046013449
MassArt Starbucks,42.33622076209265,-71.10042839929002
Mcdonalds,42.36656091005322,-71.061708605763
Mcdonalds,42.35072757840259,-71.1309706787701
Mcdonalds,42.253729069430015,-71.1243218164937
Mcdonalds,42.35518552608266,-71.06296746392746
Mcdonalds,42.2644020534052,-71.16782124379262
Mcdonalds,42.35864994473192,-71.15488880914926
Mcdonalds,42.32034696728406,-71.08216607999314
Mcdonalds,42.31562940983834,-71.09790978123532
Mcdonalds,42.35704953346932,-71.05918334711296
Mcdonalds,42.36251714086335,-71.13821684874232
Mcdonalds,42.2987795319683,-71.06296059077118
Mcdonalds,42.28230952177636,-71.0551106092782
Mcdonalds,42.348491571009966,-71.09672555467783
Mcdonalds,42.28279960324731,-71.11310073920042
Mcdonalds,42.33151953806662,-71.07035053404682
McDonald's,42.3744494960892,-71.04028036976504
McDonald's,42.33832756980068,-71.1069599358261
McDonald's,42.290393859496,-71.07187123658548
McDonald's,42.35195868500647,-71.05502724058353
McDonald's Bus Term.,42.35195868500647,-71.05502724058353
Panera Bread,42.35137678881286,-71.06548202988182
Panera Bread,42.3373623723525,-71.10603687075765
Panera Bread,42.34224955812685,-71.08614054493893
Panera Bread,42.32633412715072,-71.0619248196152
Panera Bread#9315,42.33592640131711,-71.10674808899952
Panera Bread Cafe 2137,42.33903862922761,-71.10641982346517
Panera Bread Cafe #2143,42.345749576511714,-71.10049056937852
Raising Cane's Chicken Fingers,42.35513482018907,-71.0591973047668
Raising Cane's Chicken Fingers,42.3493795507894,-71.08110051807778
Raising Cane's Chicken Fingers,42.35188759968128,-71.11870959720359
Renaissance Hotel (Starbucks),42.34794164292432,-71.03951298687424
Shake Shack,42.34961355095657,-71.08160951855567
Shake Shack,42.366659465913926,-71.01643033444054
Shake Shack,42.35669552089971,-71.05872545144284
Shake Shack,42.351721674403066,-71.04621139818897
Shake Shack#1431,42.34729635619704,-71.08145798177236
Starbucks,34.244386753001244,-73.6513909034731
Starbucks,42.344419575452655,-71.0996105702851
Starbucks,42.36267681396418,-71.01863532762123
Starbucks,42.36667405323127,-71.02772095821526
Starbucks,42.33622076209265,-71.10042839929002
Starbucks,42.35195868500647,-71.05502724058353
Starbucks,42.34918359983148,-71.10404088618179
Starbucks,42.351151687217,-71.04534917800716
Starbucks - B18,42.36267681396418,-71.01863532762123
Starbucks B1-B3 Pre-Security,42.36267681396418,-71.01863532762123
Starbucks - B27,42.36267681396418,-71.01863532762123
Starbucks@Boston Children's Hospital,42.33702086145541,-71.10560578445312
Starbucks Coffee,42.34743005521552,-71.07743639266289
Starbucks Coffee,42.34489457741269,-71.10069757263128
Starbucks Coffee,42.35873964360363,-71.15367065976557
Starbucks Coffee,42.33630964416596,-71.15017070240982
Starbucks Coffee,42.3752695253382,-71.06365042060794
Starbucks Coffee,42.36332871936691,-71.13077646844472
Starbucks Coffee,42.352268532002455,-71.06710847998501
Starbucks Coffee,42.360472254219225,-71.05548610350839
Starbucks Coffee,42.39348346013662,-71.01297626775875
Starbucks Coffee,42.35052954147997,-71.07390049977482
Starbucks Coffee,42.35125085359392,-71.06937557783954
Starbucks Coffee,42.348491571009966,-71.09672555467783
Starbucks Coffee,42.33540949161778,-71.0356204473159
Starbucks Coffee,42.26268393149629,-71.10694485907989
Starbucks Coffee # 10599,42.35312267843186,-71.05742343463301
Starbucks Coffee #22253,42.348438628788045,-71.13418271568987
Starbucks Coffee #22566,42.35352119240081,-71.04612952757107
Starbucks Coffee #50497,42.325313895667946,-71.06273154658494
Starbucks Coffee # 7224,42.33896958509749,-71.10626059785797
Starbucks Coffee # 7531,42.355569523852594,-71.06107046025674
Starbucks Coffee # 7544,42.3493795507894,-71.08110051807778
Starbucks Coffee #7550,42.36408015812073,-71.05074173895322
Starbucks Coffee # 7564,42.35198952837676,-71.06439047460371
Starbucks Coffee # 7804,42.33798958288648,-71.10448059606799
Starbucks Coffee # 7805,42.3563257621442,-71.05187648925242
STARBUCKS COFFEE # 7823,42.348699653924285,-71.15954069514655
Starbucks Coffee # 801,42.35642953450916,-71.0692504757182
Starbucks Coffee # 822,42.34862954407785,-71.07599050826795
Starbucks Coffee # 869,42.354934581933584,-71.05663610999076
Starbucks Coffee # 883,42.35936917240046,-71.05918469310265
Starbucks Coffee #9463,42.35913277128439,-71.05573853721984
Starbucks Coffee-C10,34.244386753001244,-73.6513909034731
Starbucks Coffee-C28,42.36661941846462,-71.01658968275854
Starbucks Coffee Co.,34.244386753001244,-73.6513909034731
STARBUCKS COFFEE CO.,42.36098488167635,-71.0664816305408
Starbucks Coffee Co. #7808,42.28719165656381,-71.15257181751514
Starbucks Coffee Co. #872,42.34810955891024,-71.0871505351639
Starbucks Coffee Company,42.34240591304636,-71.0567209176437
STARBUCKS COFFEE INC.,42.34259678124134,-71.0746356272597
Starbucks Coffee (Rowes Whart),34.244386753001244,-73.6513909034731
Stop & Shop/Dunkin Donuts #18,42.29263951231535,-71.04900057248577
Subway,42.25526637405237,-71.1245010863627
Subway,42.37457619089932,-71.03880424300135
Subway,42.297106695647415,-71.06048007970283
Subway,42.33323958081368,-71.10256060240509
